Países;Grupos de edad;Periodo;Total
UE27_2020;De 15 a 64 años;2023;9,3
UE27_2020;De 15 a 64 años;2022;9,8
UE27_2020;De 15 a 64 años;2021;10
UE27_2020;De 15 a 64 años;2020;10,1
UE27_2020;De 15 a 64 años;2019;10,3
UE27_2020;De 15 a 64 años;2018;10,3
UE27_2020;De 15 a 64 años;2017;10,3
UE27_2020;De 15 a 64 años;2016;10,2
UE27_2020;De 15 a 64 años;2015;10,2
UE27_2020;De 15 a 64 años;2014;10,1
UE27_2020;De 15 a 64 años;2013;10,3
UE27_2020;De 15 a 24 años;2023;4,2
UE27_2020;De 15 a 24 años;2022;4,7
UE27_2020;De 15 a 24 años;2021;4,7
UE27_2020;De 15 a 24 años;2020;4,8
UE27_2020;De 15 a 24 años;2019;4,7
UE27_2020;De 15 a 24 años;2018;4,5
UE27_2020;De 15 a 24 años;2017;4,1
UE27_2020;De 15 a 24 años;2016;4,1
UE27_2020;De 15 a 24 años;2015;4,1
UE27_2020;De 15 a 24 años;2014;4,2
UE27_2020;De 15 a 24 años;2013;""
UE27_2020;De 25 a 54 años;2023;10,1
UE27_2020;De 25 a 54 años;2022;10,5
UE27_2020;De 25 a 54 años;2021;10,6
UE27_2020;De 25 a 54 años;2020;11,1
UE27_2020;De 25 a 54 años;2019;11,6
UE27_2020;De 25 a 54 años;2018;11,7
UE27_2020;De 25 a 54 años;2017;11,8
UE27_2020;De 25 a 54 años;2016;11,6
UE27_2020;De 25 a 54 años;2015;11,5
UE27_2020;De 25 a 54 años;2014;11,4
UE27_2020;De 25 a 54 años;2013;""
UE27_2020;De 20 a 64 años;2023;10,3
UE27_2020;De 20 a 64 años;2022;10,7
UE27_2020;De 20 a 64 años;2021;10,9
UE27_2020;De 20 a 64 años;2020;11,1
UE27_2020;De 20 a 64 años;2019;11,2
UE27_2020;De 20 a 64 años;2018;11,3
UE27_2020;De 20 a 64 años;2017;11,3
UE27_2020;De 20 a 64 años;2016;11,1
UE27_2020;De 20 a 64 años;2015;11,1
UE27_2020;De 20 a 64 años;2014;11,1
UE27_2020;De 20 a 64 años;2013;11,3
UE27_2020;De 55 a 64 años;2023;12
UE27_2020;De 55 a 64 años;2022;12,5
UE27_2020;De 55 a 64 años;2021;12,6
UE27_2020;De 55 a 64 años;2020;12,5
UE27_2020;De 55 a 64 años;2019;13,1
UE27_2020;De 55 a 64 años;2018;13,1
UE27_2020;De 55 a 64 años;2017;12,8
UE27_2020;De 55 a 64 años;2016;12,8
UE27_2020;De 55 a 64 años;2015;13
UE27_2020;De 55 a 64 años;2014;13,2
UE27_2020;De 55 a 64 años;2013;13,7
UE-28;De 15 a 64 años;2023;..
UE-28;De 15 a 64 años;2022;..
UE-28;De 15 a 64 años;2021;..
UE-28;De 15 a 64 años;2020;..
UE-28;De 15 a 64 años;2019;10,4
UE-28;De 15 a 64 años;2018;10,5
UE-28;De 15 a 64 años;2017;10,4
UE-28;De 15 a 64 años;2016;10,5
UE-28;De 15 a 64 años;2015;10,5
UE-28;De 15 a 64 años;2014;10,5
UE-28;De 15 a 64 años;2013;10,6
UE-28;De 15 a 24 años;2023;..
UE-28;De 15 a 24 años;2022;..
UE-28;De 15 a 24 años;2021;..
UE-28;De 15 a 24 años;2020;..
UE-28;De 15 a 24 años;2019;4
UE-28;De 15 a 24 años;2018;4
UE-28;De 15 a 24 años;2017;3,5
UE-28;De 15 a 24 años;2016;3,4
UE-28;De 15 a 24 años;2015;3,6
UE-28;De 15 a 24 años;2014;3,7
UE-28;De 15 a 24 años;2013;3,8
UE-28;De 25 a 54 años;2023;..
UE-28;De 25 a 54 años;2022;..
UE-28;De 25 a 54 años;2021;..
UE-28;De 25 a 54 años;2020;..
UE-28;De 25 a 54 años;2019;11,5
UE-28;De 25 a 54 años;2018;11,6
UE-28;De 25 a 54 años;2017;11,8
UE-28;De 25 a 54 años;2016;11,6
UE-28;De 25 a 54 años;2015;11,5
UE-28;De 25 a 54 años;2014;11,5
UE-28;De 25 a 54 años;2013;11,4
UE-28;De 20 a 64 años;2023;..
UE-28;De 20 a 64 años;2022;..
UE-28;De 20 a 64 años;2021;..
UE-28;De 20 a 64 años;2020;..
UE-28;De 20 a 64 años;2019;11,4
UE-28;De 20 a 64 años;2018;11,6
UE-28;De 20 a 64 años;2017;11,5
UE-28;De 20 a 64 años;2016;11,6
UE-28;De 20 a 64 años;2015;11,6
UE-28;De 20 a 64 años;2014;11,5
UE-28;De 20 a 64 años;2013;11,7
UE-28;De 55 a 64 años;2023;..
UE-28;De 55 a 64 años;2022;..
UE-28;De 55 a 64 años;2021;..
UE-28;De 55 a 64 años;2020;..
UE-28;De 55 a 64 años;2019;13
UE-28;De 55 a 64 años;2018;13
UE-28;De 55 a 64 años;2017;12,9
UE-28;De 55 a 64 años;2016;13,1
UE-28;De 55 a 64 años;2015;13,2
UE-28;De 55 a 64 años;2014;13,6
UE-28;De 55 a 64 años;2013;14
Bélgica;De 15 a 64 años;2023;6,6
Bélgica;De 15 a 64 años;2022;6,6
Bélgica;De 15 a 64 años;2021;6,9
Bélgica;De 15 a 64 años;2020;7,4
Bélgica;De 15 a 64 años;2019;7,2
Bélgica;De 15 a 64 años;2018;7,5
Bélgica;De 15 a 64 años;2017;8,8
Bélgica;De 15 a 64 años;2016;8,4
Bélgica;De 15 a 64 años;2015;7,5
Bélgica;De 15 a 64 años;2014;7,9
Bélgica;De 15 a 64 años;2013;9,2
Bélgica;De 15 a 24 años;2023;1,2
Bélgica;De 15 a 24 años;2022;1,1
Bélgica;De 15 a 24 años;2021;2,1
Bélgica;De 15 a 24 años;2020;3,1
Bélgica;De 15 a 24 años;2019;1,5
Bélgica;De 15 a 24 años;2018;2,9
Bélgica;De 15 a 24 años;2017;3,5
Bélgica;De 15 a 24 años;2016;2,6
Bélgica;De 15 a 24 años;2015;3,3
Bélgica;De 15 a 24 años;2014;2,7
Bélgica;De 15 a 24 años;2013;3,4
Bélgica;De 25 a 54 años;2023;7,9
Bélgica;De 25 a 54 años;2022;7,5
Bélgica;De 25 a 54 años;2021;7,7
Bélgica;De 25 a 54 años;2020;7,8
Bélgica;De 25 a 54 años;2019;7,9
Bélgica;De 25 a 54 años;2018;8,3
Bélgica;De 25 a 54 años;2017;9,8
Bélgica;De 25 a 54 años;2016;9,5
Bélgica;De 25 a 54 años;2015;8
Bélgica;De 25 a 54 años;2014;8,3
Bélgica;De 25 a 54 años;2013;10
Bélgica;De 20 a 64 años;2023;7,6
Bélgica;De 20 a 64 años;2022;7,6
Bélgica;De 20 a 64 años;2021;7,7
Bélgica;De 20 a 64 años;2020;8,2
Bélgica;De 20 a 64 años;2019;8
Bélgica;De 20 a 64 años;2018;8,4
Bélgica;De 20 a 64 años;2017;9,8
Bélgica;De 20 a 64 años;2016;9,3
Bélgica;De 20 a 64 años;2015;8,3
Bélgica;De 20 a 64 años;2014;8,7
Bélgica;De 20 a 64 años;2013;10,2
Bélgica;De 55 a 64 años;2023;8,8
Bélgica;De 55 a 64 años;2022;9,7
Bélgica;De 55 a 64 años;2021;9,7
Bélgica;De 55 a 64 años;2020;10,7
Bélgica;De 55 a 64 años;2019;10,3
Bélgica;De 55 a 64 años;2018;9,5
Bélgica;De 55 a 64 años;2017;11
Bélgica;De 55 a 64 años;2016;10,5
Bélgica;De 55 a 64 años;2015;9,6
Bélgica;De 55 a 64 años;2014;11,4
Bélgica;De 55 a 64 años;2013;11,9
Bulgaria;De 15 a 64 años;2023;6,5
Bulgaria;De 15 a 64 años;2022;7
Bulgaria;De 15 a 64 años;2021;7,8
Bulgaria;De 15 a 64 años;2020;8,2
Bulgaria;De 15 a 64 años;2019;8,1
Bulgaria;De 15 a 64 años;2018;7,6
Bulgaria;De 15 a 64 años;2017;7,5
Bulgaria;De 15 a 64 años;2016;6,7
Bulgaria;De 15 a 64 años;2015;6,1
Bulgaria;De 15 a 64 años;2014;5,7
Bulgaria;De 15 a 64 años;2013;5,3
Bulgaria;De 15 a 24 años;2023;5
Bulgaria;De 15 a 24 años;2022;7,3
Bulgaria;De 15 a 24 años;2021;7,2
Bulgaria;De 15 a 24 años;2020;6
Bulgaria;De 15 a 24 años;2019;6,6
Bulgaria;De 15 a 24 años;2018;7,2
Bulgaria;De 15 a 24 años;2017;7,4
Bulgaria;De 15 a 24 años;2016;6,8
Bulgaria;De 15 a 24 años;2015;7,5
Bulgaria;De 15 a 24 años;2014;6,7
Bulgaria;De 15 a 24 años;2013;5,6
Bulgaria;De 25 a 54 años;2023;6
Bulgaria;De 25 a 54 años;2022;6,1
Bulgaria;De 25 a 54 años;2021;7,2
Bulgaria;De 25 a 54 años;2020;8
Bulgaria;De 25 a 54 años;2019;7,7
Bulgaria;De 25 a 54 años;2018;7
Bulgaria;De 25 a 54 años;2017;7
Bulgaria;De 25 a 54 años;2016;6,2
Bulgaria;De 25 a 54 años;2015;4,9
Bulgaria;De 25 a 54 años;2014;3,9
Bulgaria;De 25 a 54 años;2013;3,5
Bulgaria;De 20 a 64 años;2023;7,3
Bulgaria;De 20 a 64 años;2022;7,7
Bulgaria;De 20 a 64 años;2021;8,4
Bulgaria;De 20 a 64 años;2020;8,9
Bulgaria;De 20 a 64 años;2019;8,6
Bulgaria;De 20 a 64 años;2018;8,2
Bulgaria;De 20 a 64 años;2017;8
Bulgaria;De 20 a 64 años;2016;7,3
Bulgaria;De 20 a 64 años;2015;6,6
Bulgaria;De 20 a 64 años;2014;6,1
Bulgaria;De 20 a 64 años;2013;5,7
Bulgaria;De 55 a 64 años;2023;8,7
Bulgaria;De 55 a 64 años;2022;9,8
Bulgaria;De 55 a 64 años;2021;9,8
Bulgaria;De 55 a 64 años;2020;10
Bulgaria;De 55 a 64 años;2019;9,3
Bulgaria;De 55 a 64 años;2018;9
Bulgaria;De 55 a 64 años;2017;8,2
Bulgaria;De 55 a 64 años;2016;7,3
Bulgaria;De 55 a 64 años;2015;7,3
Bulgaria;De 55 a 64 años;2014;8,5
Bulgaria;De 55 a 64 años;2013;8,5
República Checa;De 15 a 64 años;2023;13,4
República Checa;De 15 a 64 años;2022;13,7
República Checa;De 15 a 64 años;2021;14,2
República Checa;De 15 a 64 años;2020;14,3
República Checa;De 15 a 64 años;2019;13,8
República Checa;De 15 a 64 años;2018;14,2
República Checa;De 15 a 64 años;2017;14,7
República Checa;De 15 a 64 años;2016;14,9
República Checa;De 15 a 64 años;2015;15,5
República Checa;De 15 a 64 años;2014;16,3
República Checa;De 15 a 64 años;2013;16,1
República Checa;De 15 a 24 años;2023;7,4
República Checa;De 15 a 24 años;2022;8,2
República Checa;De 15 a 24 años;2021;9,5
República Checa;De 15 a 24 años;2020;11
República Checa;De 15 a 24 años;2019;7,3
República Checa;De 15 a 24 años;2018;7,9
República Checa;De 15 a 24 años;2017;9,5
República Checa;De 15 a 24 años;2016;10,6
República Checa;De 15 a 24 años;2015;9,7
República Checa;De 15 a 24 años;2014;10,7
República Checa;De 15 a 24 años;2013;8,9
República Checa;De 25 a 54 años;2023;14,1
República Checa;De 25 a 54 años;2022;15,3
República Checa;De 25 a 54 años;2021;15,4
República Checa;De 25 a 54 años;2020;15
República Checa;De 25 a 54 años;2019;14,5
República Checa;De 25 a 54 años;2018;14,3
República Checa;De 25 a 54 años;2017;14,4
República Checa;De 25 a 54 años;2016;14,3
República Checa;De 25 a 54 años;2015;15,2
República Checa;De 25 a 54 años;2014;15,8
República Checa;De 25 a 54 años;2013;15,7
República Checa;De 20 a 64 años;2023;13,9
República Checa;De 20 a 64 años;2022;14,9
República Checa;De 20 a 64 años;2021;15,4
República Checa;De 20 a 64 años;2020;15,3
República Checa;De 20 a 64 años;2019;15
República Checa;De 20 a 64 años;2018;15,2
República Checa;De 20 a 64 años;2017;15,8
República Checa;De 20 a 64 años;2016;16
República Checa;De 20 a 64 años;2015;16,6
República Checa;De 20 a 64 años;2014;17,5
República Checa;De 20 a 64 años;2013;17,2
República Checa;De 55 a 64 años;2023;9,9
República Checa;De 55 a 64 años;2022;12,3
República Checa;De 55 a 64 años;2021;13,2
República Checa;De 55 a 64 años;2020;13,9
República Checa;De 55 a 64 años;2019;15,8
República Checa;De 55 a 64 años;2018;17,4
República Checa;De 55 a 64 años;2017;18,7
República Checa;De 55 a 64 años;2016;18,9
República Checa;De 55 a 64 años;2015;19,6
República Checa;De 55 a 64 años;2014;21
República Checa;De 55 a 64 años;2013;21,1
Dinamarca;De 15 a 64 años;2023;4,7
Dinamarca;De 15 a 64 años;2022;4,5
Dinamarca;De 15 a 64 años;2021;5,9
Dinamarca;De 15 a 64 años;2020;5,9
Dinamarca;De 15 a 64 años;2019;6
Dinamarca;De 15 a 64 años;2018;5,6
Dinamarca;De 15 a 64 años;2017;5,5
Dinamarca;De 15 a 64 años;2016;5,7
Dinamarca;De 15 a 64 años;2015;6,5
Dinamarca;De 15 a 64 años;2014;6,1
Dinamarca;De 15 a 64 años;2013;5
Dinamarca;De 15 a 24 años;2023;-2,3
Dinamarca;De 15 a 24 años;2022;-0,3
Dinamarca;De 15 a 24 años;2021;1
Dinamarca;De 15 a 24 años;2020;-1,5
Dinamarca;De 15 a 24 años;2019;-1,6
Dinamarca;De 15 a 24 años;2018;-2,9
Dinamarca;De 15 a 24 años;2017;-2
Dinamarca;De 15 a 24 años;2016;-4,5
Dinamarca;De 15 a 24 años;2015;-1,9
Dinamarca;De 15 a 24 años;2014;-2,4
Dinamarca;De 15 a 24 años;2013;-2,7
Dinamarca;De 25 a 54 años;2023;5,8
Dinamarca;De 25 a 54 años;2022;4,9
Dinamarca;De 25 a 54 años;2021;6,8
Dinamarca;De 25 a 54 años;2020;7,5
Dinamarca;De 25 a 54 años;2019;7,5
Dinamarca;De 25 a 54 años;2018;7,4
Dinamarca;De 25 a 54 años;2017;7,3
Dinamarca;De 25 a 54 años;2016;8,2
Dinamarca;De 25 a 54 años;2015;7,9
Dinamarca;De 25 a 54 años;2014;7,3
Dinamarca;De 25 a 54 años;2013;6
Dinamarca;De 20 a 64 años;2023;5,6
Dinamarca;De 20 a 64 años;2022;5,4
Dinamarca;De 20 a 64 años;2021;6,9
Dinamarca;De 20 a 64 años;2020;7
Dinamarca;De 20 a 64 años;2019;7,2
Dinamarca;De 20 a 64 años;2018;7
Dinamarca;De 20 a 64 años;2017;6,7
Dinamarca;De 20 a 64 años;2016;6,9
Dinamarca;De 20 a 64 años;2015;7,8
Dinamarca;De 20 a 64 años;2014;7,4
Dinamarca;De 20 a 64 años;2013;6,3
Dinamarca;De 55 a 64 años;2023;8,1
Dinamarca;De 55 a 64 años;2022;7,8
Dinamarca;De 55 a 64 años;2021;8,1
Dinamarca;De 55 a 64 años;2020;8,7
Dinamarca;De 55 a 64 años;2019;8,9
Dinamarca;De 55 a 64 años;2018;9,2
Dinamarca;De 55 a 64 años;2017;7,7
Dinamarca;De 55 a 64 años;2016;8,5
Dinamarca;De 55 a 64 años;2015;10,7
Dinamarca;De 55 a 64 años;2014;11,6
Dinamarca;De 55 a 64 años;2013;9,7
Alemania;De 15 a 64 años;2023;7,2
Alemania;De 15 a 64 años;2022;7,4
Alemania;De 15 a 64 años;2021;7,1
Alemania;De 15 a 64 años;2020;6
Alemania;De 15 a 64 años;2019;7,7
Alemania;De 15 a 64 años;2018;7,6
Alemania;De 15 a 64 años;2017;7,4
Alemania;De 15 a 64 años;2016;7,6
Alemania;De 15 a 64 años;2015;8,1
Alemania;De 15 a 64 años;2014;8,6
Alemania;De 15 a 64 años;2013;8,9
Alemania;De 15 a 24 años;2023;3,8
Alemania;De 15 a 24 años;2022;4,6
Alemania;De 15 a 24 años;2021;5
Alemania;De 15 a 24 años;2020;4
Alemania;De 15 a 24 años;2019;4,5
Alemania;De 15 a 24 años;2018;3,4
Alemania;De 15 a 24 años;2017;1,9
Alemania;De 15 a 24 años;2016;2,4
Alemania;De 15 a 24 años;2015;2,5
Alemania;De 15 a 24 años;2014;3,4
Alemania;De 15 a 24 años;2013;3,1
Alemania;De 25 a 54 años;2023;8,4
Alemania;De 25 a 54 años;2022;8,2
Alemania;De 25 a 54 años;2021;7,5
Alemania;De 25 a 54 años;2020;6,2
Alemania;De 25 a 54 años;2019;8,5
Alemania;De 25 a 54 años;2018;8,4
Alemania;De 25 a 54 años;2017;8,4
Alemania;De 25 a 54 años;2016;8,4
Alemania;De 25 a 54 años;2015;8,9
Alemania;De 25 a 54 años;2014;9,2
Alemania;De 25 a 54 años;2013;9,3
Alemania;De 20 a 64 años;2023;7,7
Alemania;De 20 a 64 años;2022;7,8
Alemania;De 20 a 64 años;2021;7,3
Alemania;De 20 a 64 años;2020;6,3
Alemania;De 20 a 64 años;2019;8
Alemania;De 20 a 64 años;2018;8,1
Alemania;De 20 a 64 años;2017;7,9
Alemania;De 20 a 64 años;2016;8,2
Alemania;De 20 a 64 años;2015;8,7
Alemania;De 20 a 64 años;2014;9,1
Alemania;De 20 a 64 años;2013;9,6
