Países;Secciones;Periodo;Total
UE-28;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2021;..
UE-28;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2020;..
UE-28;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2019;..
UE-28;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2018;..
UE-28;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2017;..
UE-28;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2016;..
UE-28;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2015;..
UE-28;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2014;..
UE-28;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2013;..
UE-28;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2012;..
UE-28;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2011;..
UE-28;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2010;..
UE-28;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2009;..
UE-28;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2021;..
UE-28;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2020;..
UE-28;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2019;..
UE-28;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2018;15,3
UE-28;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2017;15,7
UE-28;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2016;16,1
UE-28;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2015;16,4
UE-28;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2014;16,6
UE-28;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2013;16,8
UE-28;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2012;17,4
UE-28;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2011;17,1
UE-28;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2010;17,1
UE-28;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2009;..
UE-28;O Administración Pública y defensa, Seguridad Social obligatoria;2021;..
UE-28;O Administración Pública y defensa, Seguridad Social obligatoria;2020;..
UE-28;O Administración Pública y defensa, Seguridad Social obligatoria;2019;..
UE-28;O Administración Pública y defensa, Seguridad Social obligatoria;2018;..
UE-28;O Administración Pública y defensa, Seguridad Social obligatoria;2017;..
UE-28;O Administración Pública y defensa, Seguridad Social obligatoria;2016;..
UE-28;O Administración Pública y defensa, Seguridad Social obligatoria;2015;..
UE-28;O Administración Pública y defensa, Seguridad Social obligatoria;2014;..
UE-28;O Administración Pública y defensa, Seguridad Social obligatoria;2013;..
UE-28;O Administración Pública y defensa, Seguridad Social obligatoria;2012;..
UE-28;O Administración Pública y defensa, Seguridad Social obligatoria;2011;..
UE-28;O Administración Pública y defensa, Seguridad Social obligatoria;2010;..
UE-28;O Administración Pública y defensa, Seguridad Social obligatoria;2009;..
UE27_2020;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2021;..
UE27_2020;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2020;..
UE27_2020;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2019;..
UE27_2020;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2018;..
UE27_2020;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2017;..
UE27_2020;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2016;..
UE27_2020;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2015;..
UE27_2020;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2014;..
UE27_2020;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2013;..
UE27_2020;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2012;..
UE27_2020;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2011;..
UE27_2020;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2010;..
UE27_2020;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2009;..
