Países;Sexo/Brecha de género;Niveles de educación;Periodo;Total
UE27_2020;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2023;46,8
UE27_2020;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2022;45,6
UE27_2020;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2021;43,5
UE27_2020;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2020;43,4
UE27_2020;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2019;44,4
UE27_2020;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2018;43,9
UE27_2020;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2017;43,2
UE27_2020;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2016;42,2
UE27_2020;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2015;41,8
UE27_2020;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2014;41,6
UE27_2020;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2013;41,4
UE27_2020;Mujeres;Secundaria 2ª etapa (nivel 3-4);2023;68,6
UE27_2020;Mujeres;Secundaria 2ª etapa (nivel 3-4);2022;67,9
UE27_2020;Mujeres;Secundaria 2ª etapa (nivel 3-4);2021;66,5
UE27_2020;Mujeres;Secundaria 2ª etapa (nivel 3-4);2020;65,7
UE27_2020;Mujeres;Secundaria 2ª etapa (nivel 3-4);2019;67,1
UE27_2020;Mujeres;Secundaria 2ª etapa (nivel 3-4);2018;66,7
UE27_2020;Mujeres;Secundaria 2ª etapa (nivel 3-4);2017;65,9
UE27_2020;Mujeres;Secundaria 2ª etapa (nivel 3-4);2016;65
UE27_2020;Mujeres;Secundaria 2ª etapa (nivel 3-4);2015;64
UE27_2020;Mujeres;Secundaria 2ª etapa (nivel 3-4);2014;63,4
UE27_2020;Mujeres;Secundaria 2ª etapa (nivel 3-4);2013;62,6
UE27_2020;Mujeres;Educación superior (nivel 5-8);2023;84
UE27_2020;Mujeres;Educación superior (nivel 5-8);2022;83,6
UE27_2020;Mujeres;Educación superior (nivel 5-8);2021;82,5
UE27_2020;Mujeres;Educación superior (nivel 5-8);2020;81
UE27_2020;Mujeres;Educación superior (nivel 5-8);2019;81,9
UE27_2020;Mujeres;Educación superior (nivel 5-8);2018;81,2
UE27_2020;Mujeres;Educación superior (nivel 5-8);2017;80,6
UE27_2020;Mujeres;Educación superior (nivel 5-8);2016;79,9
UE27_2020;Mujeres;Educación superior (nivel 5-8);2015;79
UE27_2020;Mujeres;Educación superior (nivel 5-8);2014;78,3
UE27_2020;Mujeres;Educación superior (nivel 5-8);2013;78
UE27_2020;Hombres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2023;68,4
UE27_2020;Hombres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2022;67,7
UE27_2020;Hombres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2021;65,4
UE27_2020;Hombres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2020;65,3
UE27_2020;Hombres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2019;66,4
UE27_2020;Hombres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2018;65,5
UE27_2020;Hombres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2017;64,2
UE27_2020;Hombres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2016;62,6
UE27_2020;Hombres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2015;61,5
UE27_2020;Hombres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2014;60,4
UE27_2020;Hombres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2013;60
UE27_2020;Hombres;Secundaria 2ª etapa (nivel 3-4);2023;80,1
UE27_2020;Hombres;Secundaria 2ª etapa (nivel 3-4);2022;79,9
UE27_2020;Hombres;Secundaria 2ª etapa (nivel 3-4);2021;78,5
UE27_2020;Hombres;Secundaria 2ª etapa (nivel 3-4);2020;78,1
UE27_2020;Hombres;Secundaria 2ª etapa (nivel 3-4);2019;79,2
UE27_2020;Hombres;Secundaria 2ª etapa (nivel 3-4);2018;78,6
UE27_2020;Hombres;Secundaria 2ª etapa (nivel 3-4);2017;77,7
UE27_2020;Hombres;Secundaria 2ª etapa (nivel 3-4);2016;76,6
UE27_2020;Hombres;Secundaria 2ª etapa (nivel 3-4);2015;75,5
UE27_2020;Hombres;Secundaria 2ª etapa (nivel 3-4);2014;74,9
UE27_2020;Hombres;Secundaria 2ª etapa (nivel 3-4);2013;74,4
UE27_2020;Hombres;Educación superior (nivel 5-8);2023;89,1
UE27_2020;Hombres;Educación superior (nivel 5-8);2022;88,9
UE27_2020;Hombres;Educación superior (nivel 5-8);2021;87,9
UE27_2020;Hombres;Educación superior (nivel 5-8);2020;87,2
UE27_2020;Hombres;Educación superior (nivel 5-8);2019;88,3
UE27_2020;Hombres;Educación superior (nivel 5-8);2018;88
UE27_2020;Hombres;Educación superior (nivel 5-8);2017;87,5
UE27_2020;Hombres;Educación superior (nivel 5-8);2016;86,7
UE27_2020;Hombres;Educación superior (nivel 5-8);2015;86
UE27_2020;Hombres;Educación superior (nivel 5-8);2014;85,2
UE27_2020;Hombres;Educación superior (nivel 5-8);2013;85
UE27_2020;Brecha de género (hombres - mujeres);Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2023;21,6
UE27_2020;Brecha de género (hombres - mujeres);Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2022;22,1
UE27_2020;Brecha de género (hombres - mujeres);Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2021;21,9
UE27_2020;Brecha de género (hombres - mujeres);Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2020;21,9
UE27_2020;Brecha de género (hombres - mujeres);Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2019;22
UE27_2020;Brecha de género (hombres - mujeres);Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2018;21,6
UE27_2020;Brecha de género (hombres - mujeres);Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2017;21
UE27_2020;Brecha de género (hombres - mujeres);Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2016;20,4
UE27_2020;Brecha de género (hombres - mujeres);Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2015;19,7
UE27_2020;Brecha de género (hombres - mujeres);Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2014;18,8
UE27_2020;Brecha de género (hombres - mujeres);Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2013;18,6
UE27_2020;Brecha de género (hombres - mujeres);Secundaria 2ª etapa (nivel 3-4);2023;11,5
UE27_2020;Brecha de género (hombres - mujeres);Secundaria 2ª etapa (nivel 3-4);2022;12
UE27_2020;Brecha de género (hombres - mujeres);Secundaria 2ª etapa (nivel 3-4);2021;12
UE27_2020;Brecha de género (hombres - mujeres);Secundaria 2ª etapa (nivel 3-4);2020;12,4
UE27_2020;Brecha de género (hombres - mujeres);Secundaria 2ª etapa (nivel 3-4);2019;12,1
UE27_2020;Brecha de género (hombres - mujeres);Secundaria 2ª etapa (nivel 3-4);2018;11,9
UE27_2020;Brecha de género (hombres - mujeres);Secundaria 2ª etapa (nivel 3-4);2017;11,8
UE27_2020;Brecha de género (hombres - mujeres);Secundaria 2ª etapa (nivel 3-4);2016;11,6
UE27_2020;Brecha de género (hombres - mujeres);Secundaria 2ª etapa (nivel 3-4);2015;11,5
UE27_2020;Brecha de género (hombres - mujeres);Secundaria 2ª etapa (nivel 3-4);2014;11,5
UE27_2020;Brecha de género (hombres - mujeres);Secundaria 2ª etapa (nivel 3-4);2013;11,8
UE27_2020;Brecha de género (hombres - mujeres);Educación superior (nivel 5-8);2023;5,1
UE27_2020;Brecha de género (hombres - mujeres);Educación superior (nivel 5-8);2022;5,3
UE27_2020;Brecha de género (hombres - mujeres);Educación superior (nivel 5-8);2021;5,4
UE27_2020;Brecha de género (hombres - mujeres);Educación superior (nivel 5-8);2020;6,2
UE27_2020;Brecha de género (hombres - mujeres);Educación superior (nivel 5-8);2019;6,4
UE27_2020;Brecha de género (hombres - mujeres);Educación superior (nivel 5-8);2018;6,8
UE27_2020;Brecha de género (hombres - mujeres);Educación superior (nivel 5-8);2017;6,9
UE27_2020;Brecha de género (hombres - mujeres);Educación superior (nivel 5-8);2016;6,8
UE27_2020;Brecha de género (hombres - mujeres);Educación superior (nivel 5-8);2015;7
UE27_2020;Brecha de género (hombres - mujeres);Educación superior (nivel 5-8);2014;6,9
UE27_2020;Brecha de género (hombres - mujeres);Educación superior (nivel 5-8);2013;7
UE-28;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2023;..
UE-28;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2022;..
UE-28;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2021;..
UE-28;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2020;..
UE-28;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2019;45,6
UE-28;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2018;45,3
UE-28;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2017;44,5
UE-28;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2016;43,4
UE-28;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2015;42,8
UE-28;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2014;42,5
UE-28;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2013;42,1
UE-28;Mujeres;Secundaria 2ª etapa (nivel 3-4);2023;..
UE-28;Mujeres;Secundaria 2ª etapa (nivel 3-4);2022;..
UE-28;Mujeres;Secundaria 2ª etapa (nivel 3-4);2021;..
UE-28;Mujeres;Secundaria 2ª etapa (nivel 3-4);2020;..
UE-28;Mujeres;Secundaria 2ª etapa (nivel 3-4);2019;67,7
UE-28;Mujeres;Secundaria 2ª etapa (nivel 3-4);2018;67,2
UE-28;Mujeres;Secundaria 2ª etapa (nivel 3-4);2017;66,6
UE-28;Mujeres;Secundaria 2ª etapa (nivel 3-4);2016;65,7
UE-28;Mujeres;Secundaria 2ª etapa (nivel 3-4);2015;64,7
UE-28;Mujeres;Secundaria 2ª etapa (nivel 3-4);2014;64,1
UE-28;Mujeres;Secundaria 2ª etapa (nivel 3-4);2013;63,4
UE-28;Mujeres;Educación superior (nivel 5-8);2023;..
UE-28;Mujeres;Educación superior (nivel 5-8);2022;..
UE-28;Mujeres;Educación superior (nivel 5-8);2021;..
UE-28;Mujeres;Educación superior (nivel 5-8);2020;..
UE-28;Mujeres;Educación superior (nivel 5-8);2019;82,1
UE-28;Mujeres;Educación superior (nivel 5-8);2018;81,4
UE-28;Mujeres;Educación superior (nivel 5-8);2017;80,8
UE-28;Mujeres;Educación superior (nivel 5-8);2016;80,2
UE-28;Mujeres;Educación superior (nivel 5-8);2015;79,5
UE-28;Mujeres;Educación superior (nivel 5-8);2014;78,8
UE-28;Mujeres;Educación superior (nivel 5-8);2013;78,4
UE-28;Hombres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2023;..
UE-28;Hombres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2022;..
UE-28;Hombres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2021;..
UE-28;Hombres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2020;..
UE-28;Hombres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2019;67,2
UE-28;Hombres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2018;66,4
UE-28;Hombres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2017;65,1
UE-28;Hombres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2016;63,6
UE-28;Hombres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2015;62,3
UE-28;Hombres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2014;61,2
UE-28;Hombres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2013;60,7
UE-28;Hombres;Secundaria 2ª etapa (nivel 3-4);2023;..
UE-28;Hombres;Secundaria 2ª etapa (nivel 3-4);2022;..
UE-28;Hombres;Secundaria 2ª etapa (nivel 3-4);2021;..
UE-28;Hombres;Secundaria 2ª etapa (nivel 3-4);2020;..
UE-28;Hombres;Secundaria 2ª etapa (nivel 3-4);2019;79,7
UE-28;Hombres;Secundaria 2ª etapa (nivel 3-4);2018;79,1
UE-28;Hombres;Secundaria 2ª etapa (nivel 3-4);2017;78,2
UE-28;Hombres;Secundaria 2ª etapa (nivel 3-4);2016;77,2
UE-28;Hombres;Secundaria 2ª etapa (nivel 3-4);2015;76,3
UE-28;Hombres;Secundaria 2ª etapa (nivel 3-4);2014;75,7
UE-28;Hombres;Secundaria 2ª etapa (nivel 3-4);2013;75
UE-28;Hombres;Educación superior (nivel 5-8);2023;..
UE-28;Hombres;Educación superior (nivel 5-8);2022;..
UE-28;Hombres;Educación superior (nivel 5-8);2021;..
UE-28;Hombres;Educación superior (nivel 5-8);2020;..
UE-28;Hombres;Educación superior (nivel 5-8);2019;88,4
UE-28;Hombres;Educación superior (nivel 5-8);2018;88,2
UE-28;Hombres;Educación superior (nivel 5-8);2017;87,8
UE-28;Hombres;Educación superior (nivel 5-8);2016;87,1
UE-28;Hombres;Educación superior (nivel 5-8);2015;86,4
UE-28;Hombres;Educación superior (nivel 5-8);2014;85,7
UE-28;Hombres;Educación superior (nivel 5-8);2013;85,5
UE-28;Brecha de género (hombres - mujeres);Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2023;..
UE-28;Brecha de género (hombres - mujeres);Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2022;..
UE-28;Brecha de género (hombres - mujeres);Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2021;..
UE-28;Brecha de género (hombres - mujeres);Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2020;..
UE-28;Brecha de género (hombres - mujeres);Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2019;21,6
UE-28;Brecha de género (hombres - mujeres);Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2018;21,1
UE-28;Brecha de género (hombres - mujeres);Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2017;20,6
UE-28;Brecha de género (hombres - mujeres);Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2016;20,2
UE-28;Brecha de género (hombres - mujeres);Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2015;19,5
UE-28;Brecha de género (hombres - mujeres);Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2014;18,7
UE-28;Brecha de género (hombres - mujeres);Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2013;18,6
UE-28;Brecha de género (hombres - mujeres);Secundaria 2ª etapa (nivel 3-4);2023;..
UE-28;Brecha de género (hombres - mujeres);Secundaria 2ª etapa (nivel 3-4);2022;..
UE-28;Brecha de género (hombres - mujeres);Secundaria 2ª etapa (nivel 3-4);2021;..
UE-28;Brecha de género (hombres - mujeres);Secundaria 2ª etapa (nivel 3-4);2020;..
UE-28;Brecha de género (hombres - mujeres);Secundaria 2ª etapa (nivel 3-4);2019;12
UE-28;Brecha de género (hombres - mujeres);Secundaria 2ª etapa (nivel 3-4);2018;11,9
UE-28;Brecha de género (hombres - mujeres);Secundaria 2ª etapa (nivel 3-4);2017;11,6
UE-28;Brecha de género (hombres - mujeres);Secundaria 2ª etapa (nivel 3-4);2016;11,5
UE-28;Brecha de género (hombres - mujeres);Secundaria 2ª etapa (nivel 3-4);2015;11,6
UE-28;Brecha de género (hombres - mujeres);Secundaria 2ª etapa (nivel 3-4);2014;11,6
UE-28;Brecha de género (hombres - mujeres);Secundaria 2ª etapa (nivel 3-4);2013;11,6
UE-28;Brecha de género (hombres - mujeres);Educación superior (nivel 5-8);2023;..
UE-28;Brecha de género (hombres - mujeres);Educación superior (nivel 5-8);2022;..
UE-28;Brecha de género (hombres - mujeres);Educación superior (nivel 5-8);2021;..
UE-28;Brecha de género (hombres - mujeres);Educación superior (nivel 5-8);2020;..
UE-28;Brecha de género (hombres - mujeres);Educación superior (nivel 5-8);2019;6,3
UE-28;Brecha de género (hombres - mujeres);Educación superior (nivel 5-8);2018;6,8
UE-28;Brecha de género (hombres - mujeres);Educación superior (nivel 5-8);2017;7
UE-28;Brecha de género (hombres - mujeres);Educación superior (nivel 5-8);2016;6,9
UE-28;Brecha de género (hombres - mujeres);Educación superior (nivel 5-8);2015;6,9
UE-28;Brecha de género (hombres - mujeres);Educación superior (nivel 5-8);2014;6,9
UE-28;Brecha de género (hombres - mujeres);Educación superior (nivel 5-8);2013;7,1
Bélgica;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2023;37
Bélgica;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2022;35,6
Bélgica;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2021;34,7
Bélgica;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2020;35,9
Bélgica;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2019;37
Bélgica;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2018;36,8
Bélgica;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2017;36,7
Bélgica;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2016;37,2
Bélgica;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2015;37,3
Bélgica;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2014;37,6
Bélgica;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2013;37,2
Bélgica;Mujeres;Secundaria 2ª etapa (nivel 3-4);2023;61,8
Bélgica;Mujeres;Secundaria 2ª etapa (nivel 3-4);2022;62
Bélgica;Mujeres;Secundaria 2ª etapa (nivel 3-4);2021;60,9
Bélgica;Mujeres;Secundaria 2ª etapa (nivel 3-4);2020;61,1
Bélgica;Mujeres;Secundaria 2ª etapa (nivel 3-4);2019;63,5
Bélgica;Mujeres;Secundaria 2ª etapa (nivel 3-4);2018;62,4
