Países;Niveles de educación;Sexo;Periodo;Total
UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2023;13,4
UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2022;13,9
UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2021;15,4
UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2020;14,9
UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2019;14,5
UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2018;15,3
UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2017;16,7
UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2016;17,9
UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2015;18,6
UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2014;19,4
UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2013;19,6
UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2012;18,5
UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2011;16,6
UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2010;16
UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2009;14,9
UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2023;10,9
UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2022;11,2
UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2021;12,7
UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2020;12,7
UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2019;12,4
UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2018;13,5
UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2017;15,2
UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2016;16,8
UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2015;18,2
UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2014;19,5
