Sexo;Países;Niveles de educación;Grupos de edad;Periodo;Total
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 15 a 24 años;2023;19,4
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 15 a 24 años;2022;20,1
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 15 a 24 años;2021;24,1
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 15 a 24 años;2020;23,3
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 15 a 24 años;2019;21,3
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 15 a 24 años;2018;21,7
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 15 a 24 años;2017;24,3
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 15 a 24 años;2016;26,4
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 15 a 24 años;2015;28,2
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 15 a 24 años;2014;30,1
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 15 a 24 años;2013;31
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 15 a 24 años;2012;29,9
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 15 a 24 años;2011;27,7
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 15 a 24 años;2010;26,8
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 15 a 24 años;2009;25,4
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 25 a 49 años;2023;15,4
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 25 a 49 años;2022;16
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 25 a 49 años;2021;17,5
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 25 a 49 años;2020;17,5
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 25 a 49 años;2019;16,8
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 25 a 49 años;2018;17,9
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 25 a 49 años;2017;19,4
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 25 a 49 años;2016;20,7
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 25 a 49 años;2015;21,3
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 25 a 49 años;2014;22,1
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 25 a 49 años;2013;22,3
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 25 a 49 años;2012;21,1
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 25 a 49 años;2011;18,8
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 25 a 49 años;2010;17,9
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 25 a 49 años;2009;16,4
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 50 a 59 años;2023;10,2
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 50 a 59 años;2022;10,4
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 50 a 59 años;2021;11,7
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 50 a 59 años;2020;10,9
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 50 a 59 años;2019;11,2
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 50 a 59 años;2018;11,7
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 50 a 59 años;2017;12,8
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 50 a 59 años;2016;13,5
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 50 a 59 años;2015;14,1
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 50 a 59 años;2014;14,5
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 50 a 59 años;2013;14,1
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 50 a 59 años;2012;12,8
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 50 a 59 años;2011;11,1
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 50 a 59 años;2010;10,7
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 50 a 59 años;2009;9,8
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 60 a 64 años;2023;8,9
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 60 a 64 años;2022;9,8
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 60 a 64 años;2021;9,9
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 60 a 64 años;2020;9,1
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 60 a 64 años;2019;8,5
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 60 a 64 años;2018;9,4
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 60 a 64 años;2017;9,6
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 60 a 64 años;2016;9,7
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 60 a 64 años;2015;10,2
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 60 a 64 años;2014;10
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 60 a 64 años;2013;10,2
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 60 a 64 años;2012;8,5
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 60 a 64 años;2011;6,9
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 60 a 64 años;2010;6,7
Mujeres;UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 60 a 64 años;2009;6,2
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 15 a 24 años;2023;12,8
