Países;Sexo/Brecha de género;Grupos de edad;Periodo;Total
UE27_2020;Mujeres;Menos de 25 años;2023;14
UE27_2020;Mujeres;Menos de 25 años;2022;14,5
UE27_2020;Mujeres;Menos de 25 años;2021;16,8
UE27_2020;Mujeres;Menos de 25 años;2020;17,7
UE27_2020;Mujeres;Menos de 25 años;2019;15,6
UE27_2020;Mujeres;Menos de 25 años;2018;16,5
UE27_2020;Mujeres;Menos de 25 años;2017;18,3
UE27_2020;Mujeres;Menos de 25 años;2016;20,5
UE27_2020;Mujeres;Menos de 25 años;2015;22,1
UE27_2020;Mujeres;Menos de 25 años;2014;24
UE27_2020;Mujeres;Menos de 25 años;2013;25,2
UE27_2020;Mujeres;Menos de 25 años;2012;24,4
UE27_2020;Mujeres;Menos de 25 años;2011;22,6
UE27_2020;Mujeres;Menos de 25 años;2010;22,1
UE27_2020;Mujeres;Menos de 25 años;2009;20,6
UE27_2020;Mujeres;25 y más años;2023;5,6
UE27_2020;Mujeres;25 y más años;2022;5,8
UE27_2020;Mujeres;25 y más años;2021;6,5
UE27_2020;Mujeres;25 y más años;2020;6,7
UE27_2020;Mujeres;25 y más años;2019;6,4
UE27_2020;Mujeres;25 y más años;2018;6,9
UE27_2020;Mujeres;25 y más años;2017;7,7
UE27_2020;Mujeres;25 y más años;2016;8,5
UE27_2020;Mujeres;25 y más años;2015;9,2
UE27_2020;Mujeres;25 y más años;2014;10
UE27_2020;Mujeres;25 y más años;2013;10,4
UE27_2020;Mujeres;25 y más años;2012;9,9
UE27_2020;Mujeres;25 y más años;2011;9
UE27_2020;Mujeres;25 y más años;2010;8,9
UE27_2020;Mujeres;25 y más años;2009;8,2
UE27_2020;Hombres;Menos de 25 años;2023;14,9
UE27_2020;Hombres;Menos de 25 años;2022;14,6
UE27_2020;Hombres;Menos de 25 años;2021;16,6
UE27_2020;Hombres;Menos de 25 años;2020;17,4
UE27_2020;Hombres;Menos de 25 años;2019;15,7
UE27_2020;Hombres;Menos de 25 años;2018;16,9
UE27_2020;Hombres;Menos de 25 años;2017;18,7
UE27_2020;Hombres;Menos de 25 años;2016;20,8
UE27_2020;Hombres;Menos de 25 años;2015;22,6
UE27_2020;Hombres;Menos de 25 años;2014;24,2
UE27_2020;Hombres;Menos de 25 años;2013;25,2
UE27_2020;Hombres;Menos de 25 años;2012;24,5
UE27_2020;Hombres;Menos de 25 años;2011;22,5
UE27_2020;Hombres;Menos de 25 años;2010;22,7
UE27_2020;Hombres;Menos de 25 años;2009;21,8
UE27_2020;Hombres;25 y más años;2023;4,8
UE27_2020;Hombres;25 y más años;2022;5
UE27_2020;Hombres;25 y más años;2021;5,8
UE27_2020;Hombres;25 y más años;2020;6
UE27_2020;Hombres;25 y más años;2019;5,7
UE27_2020;Hombres;25 y más años;2018;6,2
UE27_2020;Hombres;25 y más años;2017;7
UE27_2020;Hombres;25 y más años;2016;7,9
UE27_2020;Hombres;25 y más años;2015;8,8
UE27_2020;Hombres;25 y más años;2014;9,5
UE27_2020;Hombres;25 y más años;2013;10,1
UE27_2020;Hombres;25 y más años;2012;9,5
UE27_2020;Hombres;25 y más años;2011;8,5
UE27_2020;Hombres;25 y más años;2010;8,6
UE27_2020;Hombres;25 y más años;2009;7,8
UE27_2020;Brecha de género (mujeres - hombres);Menos de 25 años;2023;-0,9
UE27_2020;Brecha de género (mujeres - hombres);Menos de 25 años;2022;-0,1
UE27_2020;Brecha de género (mujeres - hombres);Menos de 25 años;2021;0,2
UE27_2020;Brecha de género (mujeres - hombres);Menos de 25 años;2020;0,3
UE27_2020;Brecha de género (mujeres - hombres);Menos de 25 años;2019;-0,1
UE27_2020;Brecha de género (mujeres - hombres);Menos de 25 años;2018;-0,4
UE27_2020;Brecha de género (mujeres - hombres);Menos de 25 años;2017;-0,4
UE27_2020;Brecha de género (mujeres - hombres);Menos de 25 años;2016;-0,3
UE27_2020;Brecha de género (mujeres - hombres);Menos de 25 años;2015;-0,5
UE27_2020;Brecha de género (mujeres - hombres);Menos de 25 años;2014;-0,2
UE27_2020;Brecha de género (mujeres - hombres);Menos de 25 años;2013;0
UE27_2020;Brecha de género (mujeres - hombres);Menos de 25 años;2012;-0,1
UE27_2020;Brecha de género (mujeres - hombres);Menos de 25 años;2011;0,1
UE27_2020;Brecha de género (mujeres - hombres);Menos de 25 años;2010;-0,6
UE27_2020;Brecha de género (mujeres - hombres);Menos de 25 años;2009;-1,2
UE27_2020;Brecha de género (mujeres - hombres);25 y más años;2023;0,8
UE27_2020;Brecha de género (mujeres - hombres);25 y más años;2022;0,8
UE27_2020;Brecha de género (mujeres - hombres);25 y más años;2021;0,7
UE27_2020;Brecha de género (mujeres - hombres);25 y más años;2020;0,7
UE27_2020;Brecha de género (mujeres - hombres);25 y más años;2019;0,7
UE27_2020;Brecha de género (mujeres - hombres);25 y más años;2018;0,7
UE27_2020;Brecha de género (mujeres - hombres);25 y más años;2017;0,7
UE27_2020;Brecha de género (mujeres - hombres);25 y más años;2016;0,6
UE27_2020;Brecha de género (mujeres - hombres);25 y más años;2015;0,4
UE27_2020;Brecha de género (mujeres - hombres);25 y más años;2014;0,5
UE27_2020;Brecha de género (mujeres - hombres);25 y más años;2013;0,3
UE27_2020;Brecha de género (mujeres - hombres);25 y más años;2012;0,4
UE27_2020;Brecha de género (mujeres - hombres);25 y más años;2011;0,5
UE27_2020;Brecha de género (mujeres - hombres);25 y más años;2010;0,3
UE27_2020;Brecha de género (mujeres - hombres);25 y más años;2009;0,4
UE-28;Mujeres;Menos de 25 años;2023;..
UE-28;Mujeres;Menos de 25 años;2022;..
UE-28;Mujeres;Menos de 25 años;2021;..
UE-28;Mujeres;Menos de 25 años;2020;..
UE-28;Mujeres;Menos de 25 años;2019;13,6
UE-28;Mujeres;Menos de 25 años;2018;14,5
UE-28;Mujeres;Menos de 25 años;2017;16
UE-28;Mujeres;Menos de 25 años;2016;17,8
UE-28;Mujeres;Menos de 25 años;2015;19,5
UE-28;Mujeres;Menos de 25 años;2014;21,4
UE-28;Mujeres;Menos de 25 años;2013;22,9
UE-28;Mujeres;Menos de 25 años;2012;22,4
UE-28;Mujeres;Menos de 25 años;2011;21
UE-28;Mujeres;Menos de 25 años;2010;20,3
UE-28;Mujeres;Menos de 25 años;2009;18,8
UE-28;Mujeres;25 y más años;2023;..
UE-28;Mujeres;25 y más años;2022;..
UE-28;Mujeres;25 y más años;2021;..
UE-28;Mujeres;25 y más años;2020;..
UE-28;Mujeres;25 y más años;2019;5,8
UE-28;Mujeres;25 y más años;2018;6,3
UE-28;Mujeres;25 y más años;2017;7
UE-28;Mujeres;25 y más años;2016;7,8
UE-28;Mujeres;25 y más años;2015;8,4
UE-28;Mujeres;25 y más años;2014;9,1
UE-28;Mujeres;25 y más años;2013;9,6
UE-28;Mujeres;25 y más años;2012;9,2
UE-28;Mujeres;25 y más años;2011;8,4
UE-28;Mujeres;25 y más años;2010;8,3
UE-28;Mujeres;25 y más años;2009;7,7
UE-28;Hombres;Menos de 25 años;2023;..
UE-28;Hombres;Menos de 25 años;2022;..
UE-28;Hombres;Menos de 25 años;2021;..
UE-28;Hombres;Menos de 25 años;2020;..
UE-28;Hombres;Menos de 25 años;2019;14,8
UE-28;Hombres;Menos de 25 años;2018;15,7
UE-28;Hombres;Menos de 25 años;2017;17,4
UE-28;Hombres;Menos de 25 años;2016;19,3
UE-28;Hombres;Menos de 25 años;2015;21
UE-28;Hombres;Menos de 25 años;2014;22,8
UE-28;Hombres;Menos de 25 años;2013;24,4
UE-28;Hombres;Menos de 25 años;2012;23,9
UE-28;Hombres;Menos de 25 años;2011;22,4
UE-28;Hombres;Menos de 25 años;2010;22
UE-28;Hombres;Menos de 25 años;2009;21,3
UE-28;Hombres;25 y más años;2023;..
UE-28;Hombres;25 y más años;2022;..
UE-28;Hombres;25 y más años;2021;..
UE-28;Hombres;25 y más años;2020;..
UE-28;Hombres;25 y más años;2019;5,2
UE-28;Hombres;25 y más años;2018;5,7
UE-28;Hombres;25 y más años;2017;6,4
UE-28;Hombres;25 y más años;2016;7,2
UE-28;Hombres;25 y más años;2015;8,1
UE-28;Hombres;25 y más años;2014;8,8
UE-28;Hombres;25 y más años;2013;9,3
UE-28;Hombres;25 y más años;2012;8,9
UE-28;Hombres;25 y más años;2011;8,1
UE-28;Hombres;25 y más años;2010;8,1
UE-28;Hombres;25 y más años;2009;7,5
UE-28;Brecha de género (mujeres - hombres);Menos de 25 años;2023;..
UE-28;Brecha de género (mujeres - hombres);Menos de 25 años;2022;..
UE-28;Brecha de género (mujeres - hombres);Menos de 25 años;2021;..
UE-28;Brecha de género (mujeres - hombres);Menos de 25 años;2020;..
UE-28;Brecha de género (mujeres - hombres);Menos de 25 años;2019;-1,2
UE-28;Brecha de género (mujeres - hombres);Menos de 25 años;2018;-1,2
UE-28;Brecha de género (mujeres - hombres);Menos de 25 años;2017;-1,4
UE-28;Brecha de género (mujeres - hombres);Menos de 25 años;2016;-1,5
UE-28;Brecha de género (mujeres - hombres);Menos de 25 años;2015;-1,5
UE-28;Brecha de género (mujeres - hombres);Menos de 25 años;2014;-1,4
UE-28;Brecha de género (mujeres - hombres);Menos de 25 años;2013;-1,5
UE-28;Brecha de género (mujeres - hombres);Menos de 25 años;2012;-1,5
UE-28;Brecha de género (mujeres - hombres);Menos de 25 años;2011;-1,4
UE-28;Brecha de género (mujeres - hombres);Menos de 25 años;2010;-1,7
UE-28;Brecha de género (mujeres - hombres);Menos de 25 años;2009;-2,5
UE-28;Brecha de género (mujeres - hombres);25 y más años;2023;..
UE-28;Brecha de género (mujeres - hombres);25 y más años;2022;..
UE-28;Brecha de género (mujeres - hombres);25 y más años;2021;..
UE-28;Brecha de género (mujeres - hombres);25 y más años;2020;..
UE-28;Brecha de género (mujeres - hombres);25 y más años;2019;0,6
UE-28;Brecha de género (mujeres - hombres);25 y más años;2018;0,6
UE-28;Brecha de género (mujeres - hombres);25 y más años;2017;0,6
UE-28;Brecha de género (mujeres - hombres);25 y más años;2016;0,6
UE-28;Brecha de género (mujeres - hombres);25 y más años;2015;0,3
UE-28;Brecha de género (mujeres - hombres);25 y más años;2014;0,3
UE-28;Brecha de género (mujeres - hombres);25 y más años;2013;0,3
UE-28;Brecha de género (mujeres - hombres);25 y más años;2012;0,3
UE-28;Brecha de género (mujeres - hombres);25 y más años;2011;0,3
UE-28;Brecha de género (mujeres - hombres);25 y más años;2010;0,2
UE-28;Brecha de género (mujeres - hombres);25 y más años;2009;0,2
Bélgica;Mujeres;Menos de 25 años;2023;14,4
Bélgica;Mujeres;Menos de 25 años;2022;14,4
Bélgica;Mujeres;Menos de 25 años;2021;16,2
Bélgica;Mujeres;Menos de 25 años;2020;15,6
Bélgica;Mujeres;Menos de 25 años;2019;12,3
Bélgica;Mujeres;Menos de 25 años;2018;15,3
Bélgica;Mujeres;Menos de 25 años;2017;18,2
Bélgica;Mujeres;Menos de 25 años;2016;18,3
Bélgica;Mujeres;Menos de 25 años;2015;20,5
Bélgica;Mujeres;Menos de 25 años;2014;22,5
Bélgica;Mujeres;Menos de 25 años;2013;22,5
Bélgica;Mujeres;Menos de 25 años;2012;19
Bélgica;Mujeres;Menos de 25 años;2011;18,9
