Países;Sexo;Periodo;Total
UE-28;Hombres;2020;..
UE-28;Hombres;2019;45,9
UE-28;Hombres;2018;45,9
UE-28;Hombres;2017;46
UE-28;Hombres;2016;46
UE-28;Hombres;2015;45,9
UE-28;Hombres;2014;..
UE-28;Mujeres;2020;..
UE-28;Mujeres;2019;54,1
UE-28;Mujeres;2018;54,1
UE-28;Mujeres;2017;54
UE-28;Mujeres;2016;54
UE-28;Mujeres;2015;54,1
UE-28;Mujeres;2014;..
UE27_2020;Hombres;2020;46
UE27_2020;Hombres;2019;46,3
UE27_2020;Hombres;2018;46,3
UE27_2020;Hombres;2017;46,3
UE27_2020;Hombres;2016;46,3
UE27_2020;Hombres;2015;46,2
UE27_2020;Hombres;2014;..
UE27_2020;Mujeres;2020;54
UE27_2020;Mujeres;2019;53,7
UE27_2020;Mujeres;2018;53,7
UE27_2020;Mujeres;2017;53,7
UE27_2020;Mujeres;2016;53,7
UE27_2020;Mujeres;2015;53,8
UE27_2020;Mujeres;2014;..
Bélgica;Hombres;2020;44
Bélgica;Hombres;2019;43,9
Bélgica;Hombres;2018;44,4
Bélgica;Hombres;2017;44,4
Bélgica;Hombres;2016;44,3
Bélgica;Hombres;2015;44,1
Bélgica;Hombres;2014;44,1
Bélgica;Mujeres;2020;56
Bélgica;Mujeres;2019;56,1
Bélgica;Mujeres;2018;55,6
Bélgica;Mujeres;2017;55,6
Bélgica;Mujeres;2016;55,7
Bélgica;Mujeres;2015;55,9
Bélgica;Mujeres;2014;55,9
Bulgaria;Hombres;2020;46
Bulgaria;Hombres;2019;46
Bulgaria;Hombres;2018;46,3
Bulgaria;Hombres;2017;46,3
Bulgaria;Hombres;2016;46,1
Bulgaria;Hombres;2015;45,4
Bulgaria;Hombres;2014;45,7
Bulgaria;Mujeres;2020;54
Bulgaria;Mujeres;2019;54
Bulgaria;Mujeres;2018;53,7
Bulgaria;Mujeres;2017;53,7
Bulgaria;Mujeres;2016;53,9
Bulgaria;Mujeres;2015;54,6
Bulgaria;Mujeres;2014;54,3
República Checa;Hombres;2020;43
República Checa;Hombres;2019;43
República Checa;Hombres;2018;42,9
República Checa;Hombres;2017;42,6
República Checa;Hombres;2016;42,7
República Checa;Hombres;2015;42,7
República Checa;Hombres;2014;42,9
República Checa;Mujeres;2020;57
República Checa;Mujeres;2019;57
República Checa;Mujeres;2018;57,1
República Checa;Mujeres;2017;57,4
República Checa;Mujeres;2016;57,3
República Checa;Mujeres;2015;57,3
República Checa;Mujeres;2014;57,1
Dinamarca;Hombres;2020;43,1
Dinamarca;Hombres;2019;43,3
Dinamarca;Hombres;2018;43,5
Dinamarca;Hombres;2017;43,6
Dinamarca;Hombres;2016;43,6
Dinamarca;Hombres;2015;42,9
Dinamarca;Hombres;2014;42,7
Dinamarca;Mujeres;2020;56,9
Dinamarca;Mujeres;2019;56,7
Dinamarca;Mujeres;2018;56,5
Dinamarca;Mujeres;2017;56,4
Dinamarca;Mujeres;2016;56,4
Dinamarca;Mujeres;2015;57,1
Dinamarca;Mujeres;2014;57,3
Alemania;Hombres;2020;50,8
Alemania;Hombres;2019;51,5
Alemania;Hombres;2018;51,2
Alemania;Hombres;2017;51,5
Alemania;Hombres;2016;51,8
Alemania;Hombres;2015;52,1
Alemania;Hombres;2014;52,6
Alemania;Mujeres;2020;49,2
Alemania;Mujeres;2019;48,5
Alemania;Mujeres;2018;48,8
Alemania;Mujeres;2017;48,5
Alemania;Mujeres;2016;48,2
Alemania;Mujeres;2015;47,9
Alemania;Mujeres;2014;47,4
Estonia;Hombres;2020;41,3
Estonia;Hombres;2019;41,3
Estonia;Hombres;2018;41,3
Estonia;Hombres;2017;41,2
Estonia;Hombres;2016;41,4
Estonia;Hombres;2015;41,2
